_latitude,_longitude,_quarter_begin,_quarter_begin_date,labeler_code,location,location_address,location_city,location_state,location_zip,medicaid_amount_reimbursed,ndc,non_medicaid_amount_reimbursed,number_of_prescriptions,package_size,period_covered,product_code,product_fda_list_name,quarter,state_code,suppression_used,total_amount_reimbursed,units_reimbursed,utilization_type
44.6074,-69.3977,1/1,2016-01-01T00:00:00.000,12496,POINT (-69.3977 44.6074),,,,,60982.3,12496120403,195.21,403,03,2016,1204,SUBOXONE,1,ME,false,61177.51,8216,FFSU
41.1289,-98.2883,4/1,2016-04-01T00:00:00.000,00054,POINT (-98.2883 41.1289),,,,,1692.06,00054457025,21.24,78,25,2016,4570,METHADONE,2,NE,false,1713.3,6923,FFSU
38.4623,-92.302,4/1,2016-04-01T00:00:00.000,00054,POINT (-92.302 38.4623),,,,,6736.33,00054457125,59.14,210,25,2016,4571,METHADONE,2,MO,false,6795.47,28625,FFSU
35.7449,-86.7489,7/1,2016-07-01T00:00:00.000,00054,POINT (-86.7489 35.7449),,,,,,00054457025,,,25,2016,4570,METHADONE,3,TN,true,,,FFSU
32.9866,-83.6487,7/1,2016-07-01T00:00:00.000,00054,POINT (-83.6487 32.9866),,,,,276.32,00054355563,1.3,22,63,2016,3555,METHADONE,3,GA,false,277.62,3667.6,FFSU
44.6074,-69.3977,7/1,2016-07-01T00:00:00.000,00406,POINT (-69.3977 44.6074),,,,,743.99,00406575501,15.93,52,01,2016,5755,METHADONE,3,ME,false,759.92,3300,FFSU
32.7673,-89.6812,4/1,2016-04-01T00:00:00.000,00054,POINT (-89.6812 32.7673),,,,,,00054457025,,,25,2016,4570,METHADONE,2,MS,true,,,FFSU
40.3736,-82.7755,4/1,2016-04-01T00:00:00.000,13107,POINT (-82.7755 40.3736),,,,,957.06,13107008901,0,26,01,2016,0089,Methadone,2,OH,false,957.06,3745,MCOU
43.3504,-84.5603,4/1,2016-04-01T00:00:00.000,66689,POINT (-84.5603 43.3504),,,,,,66689071116,,,16,2016,0711,METHADONE,2,MI,true,,,FFSU
44.6074,-69.3977,4/1,2016-04-01T00:00:00.000,59011,POINT (-69.3977 44.6074),,,,,24068.32,59011075804,0,53,04,2016,0758,BUTRANS,2,ME,false,24068.32,200,FFSU
42.2373,-71.5314,7/1,2016-07-01T00:00:00.000,66689,POINT (-71.5314 42.2373),,,,,,66689069430,,,30,2016,0694,METHADONE,3,MA,true,,,FFSU
27.8333,-81.717,1/1,2016-01-01T00:00:00.000,00054,POINT (-81.717 27.8333),,,,,,00054855424,,,24,2016,8554,METHADONE,1,FL,true,,,MCOU
40.3736,-82.7755,4/1,2016-04-01T00:00:00.000,13107,POINT (-82.7755 40.3736),,,,,,13107008901,,,01,2016,0089,Methadone,2,OH,true,,,FFSU
43.4108,-71.5653,1/1,2016-01-01T00:00:00.000,00054,POINT (-71.5653 43.4108),,,,,,00054457025,,,25,2016,4570,METHADONE,1,NH,true,,,FFSU
,,4/1,2016-04-01T00:00:00.000,66689,,,,,,,66689081010,,,10,2016,0810,METHADONE,2,XX,true,,,MCOU
37.669,-84.6514,1/1,2016-01-01T00:00:00.000,12496,POINT (-84.6514 37.669),,,,,6180.64,12496120403,0,35,03,2016,1204,SUBOXONE,1,KY,false,6180.64,833,MCOU
46.9048,-110.3261,4/1,2016-04-01T00:00:00.000,00406,POINT (-110.3261 46.9048),,,,,,00406577162,,,62,2016,5771,METHADONE,2,MT,true,,,FFSU
37.768,-78.2057,4/1,2016-04-01T00:00:00.000,00054,POINT (-78.2057 37.768),,,,,484.5,00054457025,6,31,25,2016,4570,METHADONE,2,VA,false,490.5,1930,FFSU
31.1801,-91.8749,7/1,2016-07-01T00:00:00.000,59011,POINT (-91.8749 31.1801),,,,,,59011075804,,,04,2016,0758,BUTRANS,3,LA,true,,,MCOU
39.0646,-105.3272,1/1,2016-01-01T00:00:00.000,12496,POINT (-105.3272 39.0646),,,,,1299289.22,12496120803,8629.5,3920,03,2016,1208,SUBOXONE,1,CO,false,1307918.72,184854,FFSU
33.8191,-80.9066,4/1,2016-04-01T00:00:00.000,00054,POINT (-80.9066 33.8191),,,,,691.41,00054457025,0,38,25,2016,4570,METHADONE,2,SC,false,691.41,3085,FFSU
38.8964,-77.0262,1/1,2016-01-01T00:00:00.000,67877,POINT (-77.0262 38.8964),,,,,,67877011601,,,01,2016,0116,METHADONE,1,DC,true,,,MCOU
38.468,-80.9696,1/1,2016-01-01T00:00:00.000,12496,POINT (-80.9696 38.468),,,,,9250.38,12496120403,0,160,03,2016,1204,SUBOXONE,1,WV,false,9250.38,1212,FFSU
39.0646,-105.3272,7/1,2016-07-01T00:00:00.000,12496,POINT (-105.3272 39.0646),,,,,,12496120403,,,03,2016,1204,SUBOXONE,3,CO,true,,,MCOU
