_latitude,_location,_location_address,_location_city,_location_state,_location_zip,_longitude,_quarter_begin,_quarter_begin_date,labeler_code,medicaid_amount_reimbursed,ndc,non_medicaid_amount_reimbursed,number_of_prescriptions,package_size,period_covered,product_code,product_fda_list_name,quarter,record_id,state_code,suppression_used,total_amount_reimbursed,units_reimbursed
44.2394,POINT (-114.5103 44.2394),,,,,-114.5103,4/1,2015-04-01T00:00:00.000,59011,,59011075004,,,04,2015,0750,BUTRANS,2,FFSU,ID,true,,
37.669,POINT (-84.6514 37.669),,,,,-84.6514,4/1,2015-04-01T00:00:00.000,00406,1683.42,00406575501,7.02,134,01,2015,5755,METHADONE,2,MCOU,KY,false,1690.44,9821
43.4108,POINT (-71.5653 43.4108),,,,,-71.5653,1/1,2015-01-01T00:00:00.000,12496,781538.92,12496120803,0,4337,03,2015,1208,SUBOXONE,1,MCOU,NH,false,781538.92,113343
43.3504,POINT (-84.5603 43.3504),,,,,-84.5603,7/1,2015-07-01T00:00:00.000,59011,64662.73,59011075104,0,225,04,2015,0751,BUTRANS,3,MCOU,MI,false,64662.73,894
44.6074,POINT (-69.3977 44.6074),,,,,-69.3977,7/1,2015-07-01T00:00:00.000,00054,,00054355563,,,63,2015,3555,METHADONE,3,FFSU,ME,true,,
,,,,,,,7/1,2015-07-01T00:00:00.000,68084,,68084073811,,,11,2015,0738,METHADONE,3,FFSU,XX,true,,
38.4623,POINT (-92.302 38.4623),,,,,-92.302,7/1,2015-07-01T00:00:00.000,66689,,66689071116,,,16,2015,0711,METHADONE,3,FFSU,MO,true,,
32.7673,POINT (-89.6812 32.7673),,,,,-89.6812,1/1,2015-01-01T00:00:00.000,67877,480.87,67877011601,174,58,01,2015,0116,METHADONE,1,MCOU,MS,false,654.87,3300
47.3917,POINT (-121.5708 47.3917),,,,,-121.5708,7/1,2015-07-01T00:00:00.000,67877,3134.97,67877011601,12.2,233,01,2015,0116,Methadone,3,FFSU,WA,false,3147.17,25508
42.0046,POINT (-93.214 42.0046),,,,,-93.214,4/1,2015-04-01T00:00:00.000,00054,,00054355563,,,63,2015,3555,METHADONE,2,FFSU,IA,true,,
40.3736,POINT (-82.7755 40.3736),,,,,-82.7755,1/1,2015-01-01T00:00:00.000,67877,1043.79,67877011601,0,63,01,2015,0116,METHADONE,1,FFSU,OH,false,1043.79,7384
43.4108,POINT (-71.5653 43.4108),,,,,-71.5653,1/1,2015-01-01T00:00:00.000,12496,2739.04,12496121203,0,14,03,2015,1212,SUBOXONE,1,MCOU,NH,false,2739.04,193
40.314,POINT (-74.5089 40.314),,,,,-74.5089,1/1,2015-01-01T00:00:00.000,00406,424.54,00406575501,0,38,01,2015,5755,METHADONE,1,MCOU,NJ,false,424.54,3318
37.669,POINT (-84.6514 37.669),,,,,-84.6514,1/1,2015-01-01T00:00:00.000,12496,2953.97,12496120403,0,21,03,2015,1204,SUBOXONE,1,MCOU,KY,false,2953.97,409
34.9513,POINT (-92.3809 34.9513),,,,,-92.3809,4/1,2015-04-01T00:00:00.000,12496,,12496121203,,,03,2015,1212,SUBOXONE,2,FFSU,AR,true,,
43.4108,POINT (-71.5653 43.4108),,,,,-71.5653,10/1,2015-10-01T00:00:00.000,67877,2595.21,67877011601,0,161,01,2015,0116,METHADONE,4,MCOU,NH,false,2595.21,20869
47.3917,POINT (-121.5708 47.3917),,,,,-121.5708,10/1,2015-10-01T00:00:00.000,00054,,00054355663,,,63,2015,3556,METHADONE,4,MCOU,WA,true,,
33.8191,POINT (-80.9066 33.8191),,,,,-80.9066,7/1,2015-07-01T00:00:00.000,00406,1377.58,00406577101,75.32,47,01,2015,5771,METHADONE,3,FFSU,SC,false,1452.9,6414
32.799,POINT (-86.8073 32.799),,,,,-86.8073,7/1,2015-07-01T00:00:00.000,00054,,00054355344,,,44,2015,3553,METHADONE,3,FFSU,AL,true,,
33.7712,POINT (-111.3877 33.7712),,,,,-111.3877,4/1,2015-04-01T00:00:00.000,00054,74.37,00054355563,0,22,63,2015,3555,METHADONE,2,MCOU,AZ,false,74.37,839.4
34.8375,POINT (-106.2371 34.8375),,,,,-106.2371,10/1,2015-10-01T00:00:00.000,00054,76.87,00054355563,0,13,63,2015,3555,METHADONE,4,MCOU,NM,false,76.87,669.3
43.4108,POINT (-71.5653 43.4108),,,,,-71.5653,7/1,2015-07-01T00:00:00.000,00054,,00054355563,,,63,2015,3555,METHADONE,3,MCOU,NH,true,,
,,,,,,,7/1,2015-07-01T00:00:00.000,66689,1125.35,66689071216,1,16,16,2015,0712,METHADONE,3,MCOU,XX,false,1126.35,8965
39.8647,POINT (-86.2604 39.8647),,,,,-86.2604,4/1,2015-04-01T00:00:00.000,00054,27125,00054457125,544,788,25,2015,4571,METHADONE,2,MCOU,IN,false,27669,111853
36.17,POINT (-119.7462 36.17),,,,,-119.7462,7/1,2015-07-01T00:00:00.000,66689,,66689071216,,,16,2015,0712,METHADONE,3,MCOU,CA,true,,
31.106,POINT (-97.6475 31.106),,,,,-97.6475,10/1,2015-10-01T00:00:00.000,00054,2232.86,00054457025,0,154,25,2015,4570,METHADONE,4,MCOU,TX,false,2232.86,11582
33.7712,POINT (-111.3877 33.7712),,,,,-111.3877,7/1,2015-07-01T00:00:00.000,67877,78.7,67877011601,0,12,01,2015,0116,METHADONE,3,FFSU,AZ,false,78.7,780
38.4199,POINT (-117.1219 38.4199),,,,,-117.1219,10/1,2015-10-01T00:00:00.000,00406,,00406577162,,,62,2015,5771,METHADONE,4,MCOU,NV,true,,
31.1801,POINT (-91.8749 31.1801),,,,,-91.8749,1/1,2015-01-01T00:00:00.000,59011,3153.54,59011075004,0,17,04,2015,0750,BUTRANS,1,FFSU,LA,false,3153.54,68
36.17,POINT (-119.7462 36.17),,,,,-119.7462,1/1,2015-01-01T00:00:00.000,68084,,68084073801,,,01,2015,0738,METHADONE,1,FFSU,CA,true,,
40.1135,POINT (-111.8535 40.1135),,,,,-111.8535,4/1,2015-04-01T00:00:00.000,00406,1057.75,00406575501,0,75,01,2015,5755,METHADONE,2,MCOU,UT,false,1057.75,5000
44.2394,POINT (-114.5103 44.2394),,,,,-114.5103,4/1,2015-04-01T00:00:00.000,00406,2739.51,00406575501,57.46,131,01,2015,5755,METHADONE,2,FFSU,ID,false,2796.97,7964.5
21.1098,POINT (-157.5311 21.1098),,,,,-157.5311,1/1,2015-01-01T00:00:00.000,00406,14183.74,00406577101,0,361,01,2015,5771,METHADONE,1,MCOU,HI,false,14183.74,50656
36.17,POINT (-119.7462 36.17),,,,,-119.7462,10/1,2015-10-01T00:00:00.000,00406,,00406575562,,,62,2015,5755,METHADONE,4,MCOU,CA,true,,
40.3363,POINT (-89.0022 40.3363),,,,,-89.0022,4/1,2015-04-01T00:00:00.000,00406,5131.84,00406577101,0,171,01,2015,5771,METHADONE,2,MCOU,IL,false,5131.84,24209
44.6074,POINT (-69.3977 44.6074),,,,,-69.3977,1/1,2015-01-01T00:00:00.000,59011,,59011075004,,,04,2015,0750,BUTRANS,1,FFSU,ME,true,,
39.8647,POINT (-86.2604 39.8647),,,,,-86.2604,7/1,2015-07-01T00:00:00.000,00054,338.9,00054457025,55.89,22,25,2015,4570,METHADONE,3,FFSU,IN,false,394.79,1749
21.1098,POINT (-157.5311 21.1098),,,,,-157.5311,1/1,2015-01-01T00:00:00.000,00406,403.97,00406575501,0,28,01,2015,5755,METHADONE,1,MCOU,HI,false,403.97,1852
36.17,POINT (-119.7462 36.17),,,,,-119.7462,4/1,2015-04-01T00:00:00.000,66689,,66689071116,,,16,2015,0711,METHADONE,2,FFSU,CA,true,,
40.5773,POINT (-77.264 40.5773),,,,,-77.264,7/1,2015-07-01T00:00:00.000,00406,553.35,00406577101,10.05,22,01,2015,5771,METHADONE,3,FFSU,PA,false,563.4,2193
35.7449,POINT (-86.7489 35.7449),,,,,-86.7489,7/1,2015-07-01T00:00:00.000,00054,,00054355563,,,63,2015,3555,METHADONE,3,FFSU,TN,true,,
35.7449,POINT (-86.7489 35.7449),,,,,-86.7489,10/1,2015-10-01T00:00:00.000,59385,,59385001230,,,30,2015,0012,BUNAVAIL,4,FFSU,TN,true,,
32.799,POINT (-86.8073 32.799),,,,,-86.8073,4/1,2015-04-01T00:00:00.000,00054,,00054355663,,,63,2015,3556,METHADONE,2,FFSU,AL,true,,
32.9866,POINT (-83.6487 32.9866),,,,,-83.6487,1/1,2015-01-01T00:00:00.000,67457,,67457021720,,,20,2015,0217,Methadone,1,FFSU,GA,true,,
42.7475,POINT (-107.2085 42.7475),,,,,-107.2085,1/1,2015-01-01T00:00:00.000,59011,6631.66,59011075204,0,13,04,2015,0752,BUTRANS,1,FFSU,WY,false,6631.66,52
33.8191,POINT (-80.9066 33.8191),,,,,-80.9066,10/1,2015-10-01T00:00:00.000,12496,,12496120203,,,03,2015,1202,SUBOXONE,4,FFSU,SC,true,,
