Utilization Type,State,Labeler Code,Product Code,Package Size,Year,Quarter,Product Name,Suppression Used,Units Reimbursed,Number of Prescriptions,Total Amount Reimbursed,Medicaid Amount Reimbursed,Non Medicaid Amount Reimbursed,Quarter Begin,Quarter Begin Date,Latitude,Longitude,Location,NDC
MCOU,CA,00054,3555,63,2012,4,METHADONE,false,4794,24,349.92,349.92,0,10/1,10/01/2012,36.17,-119.7462,"(36.17, -119.7462)",00054355563
MCOU,TX,00406,5755,01,2012,1,METHADONE,false,1555,20,121.16,121.16,0,1/1,01/01/2012,31.106,-97.6475,"(31.106, -97.6475)",00406575501
MCOU,XX,00054,4571,25,2012,1,METHADONE,false,4200968.331,26285,483767.22,481486.8,2280.42,1/1,01/01/2012,,,,00054457125
FFSU,HI,00054,3555,63,2012,3,METHADONE,true,,,,,,7/1,07/01/2012,21.1098,-157.5311,"(21.1098, -157.5311)",00054355563
MCOU,HI,00054,3555,63,2012,4,METHADONE,true,,,,,,10/1,10/01/2012,21.1098,-157.5311,"(21.1098, -157.5311)",00054355563
FFSU,KY,12496,1306,02,2012,1,SUBOXONE,true,,,,,,1/1,01/01/2012,37.669,-84.6514,"(37.669, -84.6514)",12496130602
MCOU,XX,00054,4571,25,2012,4,METHADONE,false,4944814.003,32052,527955.82,517788.71,10167.11,10/1,10/01/2012,,,,00054457125
MCOU,HI,00406,5755,01,2012,4,METHADONE,true,,,,,,10/1,10/01/2012,21.1098,-157.5311,"(21.1098, -157.5311)",00406575501
MCOU,CA,00406,5771,01,2012,1,METHADONE,false,314184,1962,38074.55,38074.55,0,1/1,01/01/2012,36.17,-119.7462,"(36.17, -119.7462)",00406577101
MCOU,XX,00054,4570,25,2012,1,METHADONE,false,291589.716,3507,80016.4,79835.4,181,1/1,01/01/2012,,,,00054457025
MCOU,XX,00406,5755,01,2012,2,METHADONE,false,309054,3687,23659.46,23152.19,507.27,4/1,04/01/2012,,,,00406575501
FFSU,CO,00054,4571,25,2012,3,METHADONE,false,118919,711,18232.5,18199.39,33.11,7/1,07/01/2012,39.0646,-105.3272,"(39.0646, -105.3272)",00054457125
FFSU,CO,59011,0752,04,2012,1,BUTRANS,false,132,33,11651.5,10805.83,845.67,1/1,01/01/2012,39.0646,-105.3272,"(39.0646, -105.3272)",59011075204
MCOU,HI,00054,4570,25,2012,3,METHADONE,false,3460,55,445.69,445.69,0,7/1,07/01/2012,21.1098,-157.5311,"(21.1098, -157.5311)",00054457025
MCOU,CA,00406,5771,01,2012,4,METHADONE,false,422075,2535,51712.4,51660.65,51.75,10/1,10/01/2012,36.17,-119.7462,"(36.17, -119.7462)",00406577101
FFSU,XX,00406,5771,01,2012,4,METHADONE,false,3960050,26982,497470.52,484483.82,12986.7,10/1,10/01/2012,,,,00406577101
MCOU,CA,00054,4571,25,2012,3,METHADONE,false,921595,5259,108907.2,108712.72,194.48,7/1,07/01/2012,36.17,-119.7462,"(36.17, -119.7462)",00054457125
