period_covered,record_id,number_of_prescriptions,total_amount_reimbursed
2013,FFSU,4852,43322.18
2013,FFSU,50,289.13
2013,FFSU,5271,47445.11
2013,FFSU,53,643.63
2013,FFSU,54,694.86
2013,FFSU,56,218.68
2013,FFSU,577,14007.94
2013,FFSU,622,15074.17
2013,FFSU,65,1848.24
2013,FFSU,66,18103.65
2013,FFSU,66,587.39
2013,FFSU,664,16034.12
2013,FFSU,664,17658.76
2013,FFSU,683,16243.32
2013,FFSU,75,1583.06
2013,FFSU,75,2005.49
2013,FFSU,77,14917.99
2013,FFSU,792,13365.59
2013,FFSU,860,13043.36
2013,FFSU,88,0.01
2013,FFSU,885,14012.08
2013,FFSU,89,15532.71
2013,FFSU,98,881.15
2013,MCOU,101,370.38
2013,MCOU,1023,16395.78
2013,MCOU,1024,10617.84
2013,MCOU,1156,10647.08
2013,MCOU,1165,10667.29
2013,MCOU,12,333.3
2013,MCOU,1268,20328.64
2013,MCOU,128,1918.25
2013,MCOU,13,1706.82
2013,MCOU,13,403.94
2013,MCOU,1354,14611.62
2013,MCOU,136,984.63
2013,MCOU,146,8025.97
2013,MCOU,15,5778.11
2013,MCOU,15,698.85
2013,MCOU,1544,26718.37
2013,MCOU,1553,17617.5
2013,MCOU,1553,26478.46
2013,MCOU,157,2897.44
2013,MCOU,16,6574.83
2013,MCOU,161,2891.13
2013,MCOU,163,1044.32
2013,MCOU,169,10169.26
2013,MCOU,17,200.72
2013,MCOU,176,993.76
2013,MCOU,1762,31737.65
2013,MCOU,1903,21666.49
2013,MCOU,1922,37608.75
2013,MCOU,1942,20822.77
2013,MCOU,1951,29928.89
2013,MCOU,1953,28053.34
2013,MCOU,1966,26815.02
2013,MCOU,21,394.42
2013,MCOU,213,1381.25
2013,MCOU,2176,41146.7
2013,MCOU,2196,43520.41
2013,MCOU,2249,43817.15
2013,MCOU,228,1322.84
2013,MCOU,2306,40108.05
2013,MCOU,24,453.87
2013,MCOU,24770,389240.33
2013,MCOU,25927,403819.61
2013,MCOU,2635,37070.74
2013,MCOU,2663,41507.72
2013,MCOU,27274,405790.6
2013,MCOU,2770,44615.45
2013,MCOU,28350,453614.94
2013,MCOU,28573,431696.39
2013,MCOU,287,2014.19
2013,MCOU,28841,435486.05
2013,MCOU,29,373.63
2013,MCOU,30,47399.61
2013,MCOU,31,238.32
2013,MCOU,31,490.87
2013,MCOU,3219,40557.82
2013,MCOU,32529,551240.34
2013,MCOU,33334,524008.4
2013,MCOU,3372,59780.06
2013,MCOU,35,235.03
2013,MCOU,35,530.88
2013,MCOU,3550,50997.74
2013,MCOU,3735,22718.51
2013,MCOU,3768,22849.64
2013,MCOU,3862,23767.72
2013,MCOU,400,5056.66
2013,MCOU,41,311.75
2013,MCOU,4173,24921.45
2013,MCOU,43,943.75
2013,MCOU,4362,81758.87
2013,MCOU,440,5498.44
2013,MCOU,446,2624.74
2013,MCOU,46,7305.09
2013,MCOU,460,7458.87
2013,MCOU,472,3076.43
2013,MCOU,4762,96115.82
2013,MCOU,4776,31037.43
2013,MCOU,4857,30415.77
2013,MCOU,49,1216.15
2013,MCOU,4984,98988.36
2013,MCOU,4995,32751.22
2013,MCOU,504,3295.05
2013,MCOU,5090,31633.35
2013,MCOU,528,3533.55
2013,MCOU,529,6429.41
